published_at,cve,severity,score,status,cwe,references,description
2026-09-26T12:17:33.267Z,CVE-2026-100313,LOW,2.1,Received,CWE-79; CWE-94,5,A weakness has been identified in mathurvishal CloudClassroom-PHP-Project up to 5dadec098bfbbf3300d60c3494db3fb95b66e7be. This affects an unknown function of the file updatequery.php. Executing a manipulation of the argument queryx can lead to cross site scripting. It is possible to launch the atta…
2026-09-26T12:17:35.227Z,CVE-2026-100314,MEDIUM,5.5,Received,CWE-74; CWE-89,5,A security vulnerability has been detected in mathurvishal CloudClassroom-PHP-Project up to 5dadec098bfbbf3300d60c3494db3fb95b66e7be. This impacts an unknown function of the file updatedetailsfromstudent.php. The manipulation of the argument eno leads to sql injection. The attack can be initiated r…
